iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
ATL;KATL;Hartsfield - Jackson Atlanta International Airport;5;12390;1026;US;US-GA;Atlanta;33.6366996765137;-84.4281005859375
ANC;PANC;Anchorage Ted Stevens;3;12400;151;US;US-AK;Anchorage;61.1744003295898;-149.996002197266
AUS;KAUS;Austin Bergstrom International Airport;2;12250;542;US;US-TX;Austin;30.1944999694824;-97.6698989868164
BNA;KBNA;Nashville International Airport;4;11030;599;US;US-TN;Nashville;36.1245002746582;-86.6781997680664
BOS;KBOS;Boston Logan;6;10083;19;US;US-MA;Boston;42.36429977;-71.00520325
BWI;KBWI;Baltimore/Washington International Airport;3;10502;143;US;US-MD;Baltimore;39.17539978;-76.66829681
DCA;KDCA;Ronald Reagan Washington National Airport;3;7169;14;US;US-DC;Washington D.C.;38.8521003723145;-77.0376968383789
DFW;KDFW;Dallas/Fort Worth International Airport;7;13401;607;US;US-TX;Dallas;32.896800994873;-97.0380020141602
FLL;KFLL;Fort Lauderdale/Hollywood International Airport;2;9000;64;US;US-FL;Fort Lauderdale;26.0725994110107;-80.152702331543
IAD;KIAD;Washington Dulles International Airport;4;11500;313;US;US-VA;Washington D.C.;38.94449997;-77.45580292
IAH;KIAH;George Bush Intercontinental;5;12001;96;US;US-TX;Houston;29.9843997955322;-95.3414001464844
JFK;KJFK;New York John F. Kennedy International Airport;4;14511;12;US;US-NY;New York;40.63980103;-73.77890015
LAX;KLAX;Los Angeles International Airport;4;12091;127;US;US-CA;Los Angeles;33.94250107;-118.4079971
LGA;KLGA;New York La Guardia;2;7003;20;US;US-NY;New York;40.77719879;-73.87259674
MCO;KMCO;Orlando International Airport;4;12005;96;US;US-FL;Orlando;28.4293994903564;-81.3089981079102
MIA;KMIA;Miami International Airport;4;13016;8;US;US-FL;Miami;25.7931995391846;-80.2906036376953
MSP;KMSP;Minneapolis-St.Paul International Airport;4;11006;841;US;US-MN;Minneapolis;44.8819999695;-93.2218017578
ORD;KORD;Chicago O'Hare International Airport;7;13000;672;US;US-IL;Chicago;41.97859955;-87.90480042
PBI;KPBI;Palm Beach International Airport;3;10000;19;US;US-FL;West Palm Beach;26.6832008361816;-80.0955963134766
PHX;KPHX;Phoenix Sky Harbor International Airport;3;11489;1135;US;US-AZ;Phoenix;33.4342994689941;-112.012001037598
RDU;KRDU;Raleigh-Durham;3;10000;435;US;US-NC;Raleigh;35.8776016235352;-78.7874984741211
SEA;KSEA;Seattle-Tacoma;3;11901;432;US;US-WA;Seattle;47.4490013122559;-122.30899810791
SFO;KSFO;San Francisco International Airport;4;11870;13;US;US-CA;San Francisco;37.6189994812012;-122.375
SJC;KSJC;Norman Y. Mineta San Jose International Airport;3;11000;62;US;US-CA;San Jose;37.3625984191895;-121.929000854492
TPA;KTPA;Tampa International Airport;3;11002;26;US;US-FL;Tampa;27.9755001068115;-82.533203125
SAN;KSAN;San Diego Lindbergh;1;9400;16;US;US-CA;San Diego;32.7336006165;-117.190002441
LGB;KLGB;Long Beach Airport;3;10003;60;US;US-CA;Long Beach;33.81769943;-118.1520004
SNA;KSNA;Orange County/Santa Ana, John Wayne;2;5701;56;US;US-CA;Santa Ana;33.67570114;-117.8679962
SLC;KSLC;Salt Lake City;4;12002;56;US;US-UT;Salt Lake City;40.7883987426758;-111.977996826172
LAS;KLAS;Las Vegas Mc Carran;4;14512;2181;US;US-NV;Las Vegas;36.08010101;-115.1520004
DEN;KDEN;Denver International Airport;6;16000;5433;US;US-CO;Denver;39.8616981506348;-104.672996520996
HPN;KHPN;Westchester County;2;6549;439;US;US-NY;White Plains;41.0670013427734;-73.7076034545898
SAT;KSAT;San Antonio;3;8505;809;US;US-TX;San Antonio;29.5337009429932;-98.4698028564453
MSY;KMSY;New Orleans L. Armstrong;2;10104;3;US;US-LA;New Orleans;29.9934005737305;-90.2580032348633
EWR;KEWR;Newark, Liberty;3;11000;17;US;US-NY;Newark;40.6925010681152;-74.168701171875
CID;KCID;The Eastern Iowa Airport;2;8600;869;US;US-IA;Cedar Rapids;41.8847007751465;-91.7108001708984
HNL;PHNL;Honolulu International Airport;4;12312;13;US;US-HI;Honolulu;21.3187007904053;-157.921997070312
HOU;KHOU;Houston Hobby;4;7602;46;US;US-TX;Houston;29.64539909;-95.27890015
ELP;KELP;El Paso International Airport;3;12020;3961;US;US-TX;El Paso;31.80719948;-106.3779984
SJU;TJSJ;Puerto Rico, Luis Munoz International Airport;2;10400;9;PR;PR-U-A;San Juan;18.4393997192;-66.0018005371
CLE;KCLE;Cleveland, Hopkins International Airport;3;9956;799;US;US-OH;Cleveland;41.4117012024;-81.8498001099
OAK;KOAK;Oakland;4;10520;9;US;US-CA;Oakland;37.7212982177734;-122.221000671387
TUS;KTUS;Tucson International Airport;3;10996;2643;US;US-AZ;Tucson;32.1161003112793;-110.94100189209
SAF;KSAF;Santa Fe;3;8366;6348;US;US-NM;Santa Fe;35.617099762;-106.088996887
PHL;KPHL;Philadelphia International Airport;4;10506;36;US;US-PA;Philadelphia;39.871898651123;-75.241096496582
DTW;KDTW;Detroit Metropolitan, Wayne County;6;12003;645;US;US-MI;Detroit;42.2123985290527;-83.353401184082
YYZ;CYYZ;Toronto Pearson International Airport;5;11120;569;CA;CA-ON;Toronto;43.6772003174;-79.6305999756
YVR;CYVR;Vancouver International Airport;3;11500;14;CA;CA-BC;Vancouver;49.193901062;-123.183998108
LHR;EGLL;London Heathrow;2;12799;83;UK;GB-ENG;London;51.4706001282;-0.461941003799
LGW;EGKK;London Gatwick;2;10364;202;UK;GB-ENG;London;51.1481018066406;-0.190277993679047
CDG;LFPG;Paris Charles de Gaulle;4;13829;392;FR;FR-J;Paris;49.0127983093;2.54999995232
FRA;EDDF;Frankfurt am Main;4;13123;364;DE;DE-HE;Frankfurt;50.0264015198;8.54312992096
HEL;EFHK;Helsinki Ventaa;3;11286;179;FI;FI-18;Helsinki;60.3171997070312;24.9633007049561
NRT;RJAA;Tokyo Narita;2;13123;141;JP;JP-12;Tokyo;35.7647018433;140.386001587
SYD;YSSY;Sydney Kingsford Smith;3;12999;21;AU;AU-NSW;Sydney;-33.9460983276367;151.177001953125
SIN;WSSS;Singapore, Changi International Airport;3;13123;22;SG;SG;Singapore;1.3501900434494;103.994003295898
MEL;YMML;Melbourne International Airport;2;11998;434;AU;AU-VIC;Melbourne;-37.6733016967773;144.843002319336
DXB;OMDB;Dubai International Airport;2;13124;62;AE;AE-DU;Dubai;25.2527999878;55.3643989563
DEL;VIDP;Indira Gandhi International Airport;3;14534;777;IN;IN-DL;New Delhi;28.566499710083;77.1031036376953
DUB;EIDW;Dublin International Airport;2;8652;242;IE;IE-D;Dublin;53.4212989807129;-6.27007007598877
HKG;VHHH;Hong Kong - Chek Lap Kok International Airport;2;12467;28;HK;HK;Hong Kong;22.3089008331;113.915000916
PER;YPPH;Perth International Airport;2;11299;67;AU;AU-WA;Perth;-31.940299987793;115.967002868652
AKL;NZAA;Auckland International Airport;2;11926;23;NZ;NZ-AUK;Auckland;-37.0080986023;174.792007446
PEK;ZBAA;Beijing Capital International Airport;3;12468;116;CN;CN-11;Beijing;40.0801010131836;116.584999084473
WLG;NZWN;Wellington International Airport;1;6352;41;NZ;NZ-WGN;Wellington;-41.3272018433;174.804992676
BNE;YBBN;Brisbane International Airport;2;11680;13;AU;AU-QLD;Brisbane;-27.3841991424561;153.117004394531
PVG;ZSPD;Shanghai - Pudong International Airport;2;13123;13;CN;CN-31;Shanghai;31.1434001922607;121.805000305176
FCO;LIRF;Leonardo da Vinci-Fiumicino International Airport;3;12795;15;IT;IT-62;Rome;41.8045005798;12.2508001328
BOM;VABB;Mumbai, Chhatrapati Shivaji International Airport;2;11302;39;IN;IN-MM;Mumbai;19.0886993408;72.8678970337
AMS;EHAM;Amsterdam Airport Schiphol;6;12467;-11;NL;NL-NH;Amsterdam;52.3086013794;4.76388978958
KUL;WMKK;Kuala Lumpur International Airport;3;13288;69;MY;MY-14;Kuala Lumpur;2.74557995796204;101.709999084473
PRG;LKPR;Prague, Ruzyne International Airport;2;12189;1247;CZ;CZ-PR;Prague;50.1007995605469;14.2600002288818
BCN;LEBL;Barcelona International Airport;3;11654;12;ES;ES-CT;Barcelona;41.2971000671387;2.07845997810364
MAD;LEMD;Adolfo Suarez Barajas Airport International Airport;3;13711;1998;ES;ES-M;Madrid;40.4936;-3.56676
VIE;LOWW;Vienna International Airport;2;11811;600;AT;AT-9;Vienna;48.1102981567383;16.5697002410889
ZRH;LSZH;Zurich-Kloten Airport;3;12139;1416;CH;CH-ZH;Zurich;47.4646987915039;8.54916954040527
GVA;LSGG;Geneva-Cointrin International Airport;2;12795;1411;CH;CH-GE;Geneva;46.2380981445312;6.10895013809204
YOW;CYOW;Ottawa Macdonald-Cartier International Airport;3;10000;374;CA;CA-ON;Ottawa;45.3224983215;-75.6691970825
BRU;EBBR;Brussels Airport;3;11936;184;BE;BE-BRU;Brussels;50.9014015198;4.48443984985
MUC;EDDM;Munich International Airport;2;13123;1487;DE;DE-BY;Munich;48.3538017272949;11.7861003875732
CHC;NZCH;Christchurch International Airport;3;10787;123;NZ;NZ-CAN;Christchurch;-43.4893989562988;172.531997680664
CBR;YSCB;Canberra International Airport;2;10771;1886;AU;AU-ACT;Canberra;-35.3069000244141;149.195007324219
RSW;KRSW;Southwest Florida International Airport;1;12000;30;US;US-FL;Fort Myers;26.5361995697021;-81.7552032470703
MAN;EGCC;Manchester Airport;2;10000;257;UK;GB-ENG;Manchester;53.3536987304688;-2.27495002746582
YUL;CYUL;Montreal / Pierre Elliott Trudeau International Airport;3;11000;118;CA;CA-QC;Montreal;45.4706001282;-73.7407989502
YEG;CYEG;Edmonton International Airport;2;11000;2373;CA;CA-AB;Edmonton;53.3097000122;-113.580001831
CGN;EDDK;Cologne Bonn Airport;3;12516;302;DE;DE-NW;Cologne;50.8658981323;7.1427397728
LCY;EGLC;London City Airport;1;4948;19;UK;GB-ENG;London;51.505278;0.055278
GOT;ESGG;Gothenburg-Landvetter Airport;1;10823;506;SE;SE-Q;Gothenburg;57.6627998352051;12.2798004150391
VCE;LIPZ;Venice Marco Polo Airport;2;10827;7;IT;IT-34;Venice;45.5052986145;12.3519001007
SNN;EINN;Shannon Airport;5;10495;46;IE;IE-CE;Shannon;52.7019996643066;-8.92481994628906
OSL;ENGM;Oslo Gardermoen Airport;2;11811;681;NO;NO-02;Oslo;60.1939010620117;11.1003999710083
ARN;ESSA;Stockholm-Arlanda Airport;3;10830;137;SE;SE-AB;Stockholm;59.6519012451172;17.9186000823975
STN;EGSS;London Stansted Airport;1;10003;348;UK;GB-ENG;London;51.8849983215;0.234999999404
EMA;EGNX;East Midlands Airport;1;9491;306;UK;GB-ENG;Nottingham;52.8311004639;-1.32806003094
EDI;EGPH;Edinburgh Airport;3;8400;135;UK;GB-SCT;Edinburgh;55.9500007629395;-3.37249994277954
GLA;EGPF;Glasgow International Airport;2;8720;26;UK;GB-SCT;Glasgow;55.8718986511;-4.43306016922
LPL;EGGP;Liverpool John Lennon Airport;1;7500;80;UK;GB-ENG;Liverpool;53.3335990905762;-2.8497200012207
YYC;CYYC;Calgary International Airport;3;12675;3557;CA;CA-AB;Calgary;51.113899231;-114.019996643
MNL;RPLL;Manila, Ninoy Aquino International Airport;2;12261;75;PH;PH-U-A;Manila;14.508600235;121.019996643
BKK;VTBS;Suvarnabhumi Bangkok International Airport;2;13123;5;TH;TH-10;Bangkok;13.6810998916626;100.747001647949
DME;UUDD;Moscow, Domodedovo International Airport;3;12448;588;RU;RU-MOS;Moscow;55.4087982177734;37.9062995910645
SVO;UUEE;Moscow, Sheremetyevo International Airport;2;12139;622;RU;RU-MOS;Moscow;55.972599029541;37.4146003723145
ITM;RJOO;Osaka International Airport;2;9840;50;JP;JP-27;Osaka;34.7854995727539;135.438003540039
HND;RJTT;Tokyo Haneda International Airport;4;9840;35;JP;JP-13;Tokyo;35.5522994995117;139.779998779297
DOH;OTHH;Doha, Hamad International Airport;2;15912;13;QA;QA-DA;Doha;25.273056;51.608056
ORY;LFPO;Paris, Orly Airport;3;11975;291;FR;FR-J;Paris;48.7252998352;2.35944008827
NCE;LFMN;Nice-Cote d'Azur Airport;2;9712;12;FR;FR-U;Nice;43.6584014893;7.21586990356
MXP;LIMC;Milan, Malpensa International Airport;2;12861;768;IT;IT-25;Milan;45.6305999756;8.72811031342
ATH;LGAV;Athens, Eleftherios Venizelos International Airport;2;13123;308;GR;GR-A1;Athens;37.9364013672;23.9444999695
ZAG;LDZA;Zagreb Airport;1;10669;353;HR;HR-21;Zagreb;45.7429008484;16.0687999725
BUD;LHBP;Budapest Ferenc Liszt International Airport;2;12162;495;HU;HU-PE;Budapest;47.4369010925;19.2555999756
ALC;LEAL;Alicante International Airport;1;9842;142;ES;ES-V;Alicante;38.2821998596191;-0.55815601348877
BIO;LEBB;Bilbao Airport;2;8530;138;ES;ES-PV;Bilbao;43.3011016845703;-2.91060996055603
IBZ;LEIB;Ibiza Airport;1;9186;24;ES;ES-PM;Ibiza;38.8728981018;1.37311995029
MAH;LEMH;Menorca Airport;2;7710;302;ES;ES-PM;Menorca;39.8625984191895;4.21864986419678
CCJ;VOCL;Calicut International Airport;1;9383;342;IN;IN-KL;Calicut;11.1367998123;75.9552993774
HYD;VOHS;Hyderabad, Rajiv Gandhi International Airport;1;13976;2024;IN;IN-AP;Hyderabad;17.2313175201;78.4298553467
MAA;VOMM;Chennai International Airport;2;12001;52;IN;IN-TN;Chennai;12.9900054931641;80.1692962646484
CCU;VECC;Kolkata, Netaji Subhash Chandra Bose International Airport;2;11900;16;IN;IN-WB;Kolkata;22.6546993255615;88.4467010498047
BLR;VOBL;Bengaluru International Airport;1;13123;3000;IN;IN-KA;Bengaluru;13.1978998184;77.7062988281
ICN;RKSI;Seoul, Incheon International Airport;3;13000;23;KR;KR-28;Seoul;37.4691009521484;126.450996398926
YYT;CYYT;St. John's International Airport;3;8502;461;CA;CA-NL;St. John's;47.618598938;-52.7518997192
TFN;GCXO;Tenerife Norte Airport;1;11155;2076;ES;ES-CN;Tenerife;28.4827003479;-16.3414993286
CPT;FACT;Cape Town International Airport;2;10502;151;ZA;ZA-WC;Cape Town;-33.9648017883;18.6016998291
JNB;FAJS;Johannesburg, OR Tambo International Airport;2;14495;5558;ZA;ZA-GT;Johannesburg;-26.1392002106;28.2460002899
DUR;FALE;Durban, King Shaka International Airport;1;12139;295;ZA;ZA-NL;Durban;-29.6144444444;31.1197222222
NBO;HKJK;Nairobi, Jomo Kenyatta International Airport;1;13507;5330;KE;KE-110;Nairobi;-1.31923997402;36.9277992249
MBA;HKMO;Mombasa Moi International Airport;2;10991;200;KE;KE-300;Mombasa;-4.03483009338379;39.5942001342773
MVD;SUMU;Montevideo, Carrasco International /General C L Berisso Airport;3;10499;105;UY;UY-MO;Montevideo;-34.8384017944336;-56.0307998657227
GIG;SBGL;Rio de Janeiro ,Galeao Antonio Carlos Jobim International Airport;2;13123;28;BR;BR-RJ;Rio de Janeiro;-22.8099994659;-43.2505569458
GRU;SBGR;Sao Paulo, Guarulhos - Governador Andras Franco Montoro International Airport;1;12139;2459;BR;BR-SP;Sao Paulo;-23.4355564117432;-46.4730567932129
EZE;SAEZ;Buenos Aires, Ministro Pistarini International Airport;2;10187;67;AR;AR-B;Buenos Aires;-34.8222;-58.5358
LIM;SPIM;Lima, Jorge Chavez International Airport;1;11506;113;PE;PE-LIM;Lima;-12.021900177;-77.1143035889
SCL;SCEL;Santiago, Comodoro Arturo Merino Benitez International Airport;2;12203;1555;CL;CL-RM;Santiago;-33.3930015563965;-70.7857971191406
MEX;MMMX;Mexico City, Licenciado Benito Juarez International Airport;2;12966;7316;MX;MX-DIF;Mexico City;19.43630027771;-99.0720977783203
KIN;MKJP;Kingston, Norman Manley International Airport;1;8900;10;JM;JM-01;Kingston;17.9356994628906;-76.7874984741211
TLH;KTLH;Tallahassee Regional Airport;2;8000;81;US;US-FL;Tallahassee;30.3964996337891;-84.3503036499023
LCA;LCLK;Larnaca International Airport;1;9776;8;CY;CY-04;Larnaca;34.8750991821289;33.6249008178711
WAW;EPWA;Warsaw Chopin Airport;2;12106;362;PL;PL-MZ;Warsaw;52.1656990051;20.9671001434
MLA;LMML;Malta International Airport;2;11627;300;MT;MT-25;Luqa;35.857498;14.4775
SOF;LBSF;Sofia Airport;1;9186;1742;BG;BG-23;Sofia;42.6966934204102;23.4114360809326
BEG;LYBE;Belgrade Nikola Tesla Airport;1;11155;335;RS;RS-00;Belgrade;44.8184013367;20.3090991974
CAI;HECA;Cairo International Airport;3;13124;382;EG;EG-C;Cairo;30.1219005584717;31.4055995941162
ADD;HAAB;Addis Ababa Bole International Airport;2;12467;7630;ET;ET-AA;Addis Ababa;8.97789001465;38.7993011475
TLV;LLBG;Tel Aviv, Ben Gurion International Airport;3;13327;135;IL;IL-M;Tel Aviv;32.0113983154297;34.8866996765137
PIT;KPIT;Pittsburgh International Airport;4;11500;1203;US;US-PA;Pittsburgh;40.49150085;-80.23290253
PWM;KPWM;Portland International Jetport Airport;2;7200;76;US;US-ME;Portland;43.64619827;-70.30930328
PDX;KPDX;Portland International Airport;3;11000;31;US;US-OR;Portland;45.58869934;-122.5979996
OKC;KOKC;Oaklahoma City, Will Rogers World Airport;4;9800;1295;US;US-OK;Oaklahoma City;35.3931007385254;-97.600700378418
ONT;KONT;Ontario International Airport;2;12198;944;US;US-CA;Ontario;34.0559997558594;-117.600997924805
ROC;KROC;Greater Rochester International Airport;3;8001;559;US;US-NY;Rochester;43.1189002990723;-77.6724014282227
RST;KRST;Rochester International Airport;2;9033;1317;US;US-MN;Rochester;43.9082984924316;-92.5
KWI;OKBK;Kuwait International Airport;2;11483;206;KW;KW-FA;Kuwait;29.2266006469727;47.9688987731934
PNH;VDPP;Phnom Penh International Airport;1;9843;40;KH;KH-8;Phnom Penh;11.5466003417969;104.84400177002
AYQ;YAYE;Ayers Rock Connellan Airport;1;8527;1626;AU;AU-NT;Ayers Rock;-25.1861000061035;130.975997924805
ASP;YBAS;Alice Springs Airport;2;7999;1789;AU;AU-NT;Alice Springs;-23.8066997528076;133.901992797852
OOL;YBCG;Gold Coast Airport;2;6699;21;AU;AU-NSW;Gold Coast;-28.1644001007;153.505004883
FAI;PAFA;Fairbanks International Airport;4;11800;439;US;US-AK;Fairbanks;64.81510162;-147.8560028
CNS;YBCS;Cairns International Airport;2;10489;10;AU;AU-QLD;Cairns;-16.885799408;145.755004883
IST;LTFM;Istanbul International Airport;4;13451;325;TR;TR-34;Istanbul;41.275278;28.751944
BAH;OBBI;Bahrain International Airport;2;12979;6;BH;BH-15;Manama;26.2707996368408;50.6335983276367
YHZ;CYHZ;Halifax / Stanfield International Airport;2;10500;477;CA;CA-NS;Halifax;44.8807983398;-63.5085983276
AUH;OMAA;Abu Dhabi International Airport;2;13452;88;AE;AE-AZ;Abu Dhabi;24.4330005645752;54.6511001586914
SGN;VVTS;Ho Chi Minh City, Tan Son Nhat International Airport;2;12468;33;VN;VN-23;Ho Chi Minh City;10.8187999725;106.652000427
YWG;CYWG;Winnipeg / James Armstrong Richardson International Airport;3;11000;783;CA;CA-MB;Winnipeg;49.9099998474;-97.2398986816
HAM;EDDH;Hamburg Airport;2;12028;53;DE;DE-HH;Hamburg;53.6304016113281;9.98822975158691
STR;EDDS;Stuttgart Airport;1;10974;1276;DE;DE-BW;Stuttgart;48.6898994446;9.22196006775
GOA;LIMJ;Genoa Cristoforo Colombo Airport;1;9564;13;IT;IT-42;Genoa;44.4132995605;8.83749961853
NAP;LIRN;Naples International Airport;1;8622;294;IT;IT-72;Naples;40.8860015869;14.2908000946
PSA;LIRP;Pisa International Airport;2;9820;6;IT;IT-52;Pisa;43.6838989258;10.3927001953
TRN;LIMF;Turin Airport;1;10827;989;IT;IT-21;Turin;45.2008018494;7.64963006973
BLQ;LIPE;Bologna Guglielmo Marconi Airport;1;9186;123;IT;IT-45;Bologna;44.5354003906;11.2887001038
TSF;LIPH;Venice, Treviso-Sant Angelo Airport;1;7941;59;IT;IT-34;Venice;45.648399353;12.1943998337
VRN;LIPX;Verona Villafranca Airport;1;10064;239;IT;IT-34;Verona;45.3956985474;10.8885002136
NTE;LFRS;Nantes Atlantique Airport;1;9514;90;FR;FR-R;Nantes;47.1531982422;-1.61073005199
CPH;EKCH;Copenhagen Kastrup Airport;3;11811;17;DK;DK-84;Copenhagen;55.6179008483887;12.6560001373291
CLT;KCLT;Charlotte Douglas International Airport;4;10000;748;US;US-NC;Charlotte;35.2140007019043;-80.9430999755859
LUX;ELLX;Luxembourg-Findel International Airport;1;13123;1234;LU;LU-L;Luxembourg;49.6265983581543;6.21152019500732
CUN;MMUN;Cancun International Airport;2;11483;22;MX;MX-ROO;Cancun;21.0365009308;-86.8770980835
PSP;KPSP;Palm Springs International Airport;2;10000;477;US;US-CA;Palm Springs;33.8297004699707;-116.50700378418
MEM;KMEM;Memphis International Airport;4;11120;341;US;US-TN;Memphis;35.0424003601074;-89.9766998291016
CVG;KCVG;Cincinnati Northern Kentucky International Airport;4;12000;896;US;US-KY;Cincinnati;39.0488014221;-84.6678009033
IND;KIND;Indianapolis International Airport;3;11200;797;US;US-IN;Indianapolis;39.7173004150391;-86.2944030761719
MCI;KMCI;Kansas City International Airport;3;10801;1026;US;US-MO;Kansas City;39.2975997924805;-94.7138977050781
DAL;KDAL;Dallas Love Field;3;8800;487;US;US-TX;Dallas;32.8470993041992;-96.8517990112305
STL;KSTL;Lambert St Louis International Airport;4;11019;618;US;US-MO;St Louis;38.7486991882324;-90.370002746582
ABQ;KABQ;Albuquerque International Sunport Airport;4;13793;5355;US;US-NM;Albuquerque;35.0401992797852;-106.609001159668
MKE;KMKE;General Mitchell International Airport;5;9690;723;US;US-WI;Milwaukee;42.9472007751465;-87.896598815918
MDW;KMDW;Chicago Midway International Airport;5;6522;620;US;US-IL;Chicago;41.7859992980957;-87.7524032592773
HRO;KHRO;Harrison, Boone County Airport;1;6161;1365;US;US-AR;Harrison;36.2615013122559;-93.1547012329102
SLN;KSLN;Salina Municipal Airport;4;12300;1288;US;US-KS;Salina;38.7910003662109;-97.6521987915039
OMA;KOMA;Eppley Airfield;3;9502;984;US;US-NE;Omaha;41.3031997680664;-95.8940963745117
TUL;KTUL;Tulsa International Airport;3;9999;677;US;US-OK;Tulsa;36.1983985900879;-95.8880996704102
PVR;MMPR;Puerto Vallarta, Licenciado Gustavo Diaz Ordaz International Airport;1;10171;23;MX;MX-JAL;Puerto Vallarta;20.6800994873047;-105.253997802734
OGG;PHOG;Maui, Kahului Airport;2;6995;54;US;US-HI;Kahului;20.8985996246338;-156.429992675781
MCY;YBSU;Sunshine Coast Airport;2;5896;15;AU;AU-QLD;Maroochydore;-26.6033000946;153.091003418
DUS;EDDL;Dusseldorf International Airport;2;9842;147;DE;DE-NW;Dusseldorf;51.2895011901855;6.76677989959717
GUM;PGUM;Antonio B. Won Pat International Airport;2;10015;298;GU;GU-U-A;Hagta;13.4834003448;144.796005249
TXL;EDDT;Berlin, Tegel International Airport;2;9918;122;DE;DE-BE;Berlin;52.5597000122;13.2876996994
CMB;VCBI;Colombo, Bandaranaike International Airport;1;10991;30;LK;LK-1;Colombo;7.1807599067688;79.8841018676758
LIS;LPPT;Lisbon Portela Airport;1;12484;374;PT;PT-11;Lisbon;38.7812995911;-9.13591957092
GIB;LXGB;Gibraltar Airport;1;6000;15;GI;GI-U-A;Gibraltar;36.1511993408;-5.34965991974
TUN;DTTA;Tunis Carthage International Airport;2;10499;22;TN;TN-11;Tunis;36.851001739502;10.2271995544434
TPE;RCTP;Taiwan Taoyuan International Airport;2;12008;106;TW;TW-TAO;Taipei;25.0776996612549;121.233001708984
LTN;EGGW;London Luton Airport;1;7086;526;UK;GB-ENG;London;51.874698638916;-0.368333011865616
KTM;VNKT;Kathmandu, Tribhuvan International Airport;1;10007;4390;NP;NP-BA;Kathmandu;27.6965999603;85.3591003418
NAS;MYNN;Nassau, Lynden Pindling International Airport;2;11353;16;BS;BS-NP;Nassau;25.0389995575;-77.4662017822
FPO;MYGF;Freeport, Grand Bahama International Airport;1;11019;7;BS;BS-FP;Freeport;26.5587005615;-78.695602417
GGT;MYEF;George Town, Exuma International Airport;1;7051;9;BS;BS-EX;George Town;23.5625991821;-75.8779983521
EYW;KEYW;Key West International Airport;1;4801;3;US;US-FL;Key West;24.5561008453369;-81.7595977783203
FUK;RJFF;Fukuoka Airport;1;9186;32;JP;JP-40;Fukuoka;33.5858993530273;130.45100402832
KIX;RJBB;Osaka, Kansai International Airport;2;13123;26;JP;JP-27;Osaka;34.4272994995117;135.244003295898
CTS;RJCC;Sapporo, New Chitose Airport;2;9840;82;JP;JP-01;Sapporo;42.7751998901367;141.692001342773
JED;OEJN;King Abdulaziz International Airport;3;13123;48;SA;SA-02;Jeddah;21.679599762;39.15650177
MCT;OOMS;Muscat International Airport;2;11775;48;OM;OM-MA;Muscat;23.5932998657227;58.2844009399414
KEF;BIKF;Reykjavik, Keflavik International Airport;2;10056;171;IS;IS-2;Reykjavik;63.9850006103516;-22.6056003570557
BGI;TBPB;Bridgetown, Sir Grantley Adams International Airport;1;11000;169;BB;BB-01;Bridgetown;13.0746002197;-59.4925003052
ANU;TAPA;V.C. Bird International Airport;1;9003;62;AG;AG-03;St. George;17.1367;-61.792702
STT;TIST;St. Thomas, Cyril E. King Airport;1;7000;23;VI;VI-U-A;Charlotte Amalie;18.3372993469238;-64.9733963012695
BDA;TXKF;Bermuda, L.F. Wade International International Airport;1;9713;12;BM;BM-U-A;Hamilton;32.3639984130859;-64.6787033081055
TAB;TTCP;Tobago-Crown Point Airport;1;9002;38;TT;TT-WTO;Scarborough;11.1497001647949;-60.8321990966797
POS;TTPP;Port of Spain, Piarco International Airport;1;10500;58;TT;TT-TUP;Port of Spain;10.5953998565674;-61.3372001647949
LOS;DNMM;Lagos,Murtala Muhammed International Airport;1;11153;135;NG;NG-LA;Lagos;6.57737016677856;3.32116007804871
MBJ;MKJS;Montego Bay, Sangster International Airport;1;8735;4;JM;JM-08;Montego Bay;18.5037002563477;-77.9133987426758
HRE;FVHA;Harare International Airport;1;15502;4887;ZW;ZW-HA;Harare;-17.9318008422852;31.0928001403809
LIT;KLIT;Little Rock, Bill and Hillary Clinton National Airport/Adams Field;3;8273;262;US;US-AR;Little Rock;34.7294006348;-92.2242965698
LPA;GCLP;Gran Canaria Airport;2;10171;78;ES;ES-CN;Gran Canaria;27.9319000244141;-15.3865995407104
SOU;EGHI;Southampton Airport;1;5653;44;UK;GB-ENG;Southampton;50.9502983093262;-1.35679996013641
PMI;LEPA;Palma De Mallorca Airport;2;10728;27;ES;ES-PM;Palma De Mallorca;39.551700592;2.73881006241
ADL;YPAD;Adelaide International Airport;2;10171;20;AU;AU-SA;Adelaide;-34.9449996948242;138.531005859375
DRW;YPDN;Darwin International Airport;2;11004;103;AU;AU-NT;Darwin;-12.4146995544434;130.876998901367
CUR;TNCC;Curacao, Hato International Airport;1;11188;29;CW;CW-U-A;Curacao;12.1888999939;-68.9598007202
DPS;WADD;Bali - Ngurah Rai International Airport;2;9790;14;ID;ID-BA;Denpasar;-8.74816989898682;115.166999816895
CGK;WIII;Soekarno-Hatta International Airport;2;12008;34;ID;ID-BT;Jakarta;-6.1255698204;106.65599823
BON;TNCB;Bonaire, Flamingo International Airport;1;9449;20;BQ;BQ-U-A;Kralendijk;12.1309995651245;-68.2685012817383
AUA;TNCA;Aruba, Queen Beatrix International Airport;1;9000;60;AW;AW-U-A;Oranjestad;12.5013999938965;-70.0151977539062
ORF;KORF;Norfolk International Airport;2;9001;26;US;US-VA;Norfolk;36.8945999145508;-76.2012023925781
